Název produktu;Kategorie;Prodejní cena;Nákupní cena
Laptop Pro 15;IT;25900;21500
Klávesnice mech;it;1200;850
Monitor 27;  IT;4500;3600
Jablko;Potraviny;15;10
Chleba;potraviny;35;28
Mléko 1L;Potraviny;28;22
Lego Hrad;Hračky;2100;1400
Autíčko;hracky;350;180
Vrtačka;Dílna;1500;1100
Kladivo;Dilna;250;150
Tričko L;Oblečení;400;150
Ponožky;Oblečení;99;30
Webkamera;IT;1500;950
Myš bezdrátová;it;800;450
Sluchátka;IT;2200;1600
Banán 1kg;potraviny;;15
Jogurt;Potraviny;18;12
Máslo;Potraviny;55;42
Panenka;Hračky;600;320
Puzzle 1000;Hračky;450;210
Šroubovák;Dílna;120;60
Pila;Dilna;1800;1350
Bunda zimní;Oblečení;2500;1600
Džíny;Oblečení;1200;700
Router WiFi;IT;;850
USB Disk;it;300;180
Vejce 10ks;Potraviny;45;32
Plyšák;Hračky;250;110
Metr svinovací;Dílna;150;85
Kšiltovka;Oblečení;350;140
